TF	TG	cluster	borda_rank	borda_clusterRank	weight
BdiBd21-3.2G0638300	BdiBd21-3.1G0260500	Cluster_0	403	111	0.032883246972791026
BdiBd21-3.2G0638300	BdiBd21-3.3G0062300	Cluster_0	403	111	0.03228586718479793
BdiBd21-3.2G0638300	BdiBd21-3.3G0100100	Cluster_0	403	111	0.03130438087341028
BdiBd21-3.2G0638300	BdiBd21-3.3G0181900	Cluster_0	403	111	0.03123657469904516
BdiBd21-3.2G0638300	BdiBd21-3.1G0158500	Cluster_0	403	111	0.030127564081633494
BdiBd21-3.2G0638300	BdiBd21-3.1G0036300	Cluster_0	403	111	0.029898072022021414
BdiBd21-3.2G0638300	BdiBd21-3.3G0143000	Cluster_0	403	111	0.02761285235363156
BdiBd21-3.2G0638300	BdiBd21-3.1G0283700	Cluster_0	403	111	0.027486032575012545
BdiBd21-3.2G0638300	BdiBd21-3.1G0038500	Cluster_0	403	111	0.027326447036709927
BdiBd21-3.2G0638300	BdiBd21-3.1G0129400	Cluster_0	403	111	0.026169286998013425
BdiBd21-3.2G0638300	BdiBd21-3.3G0034900	Cluster_0	403	111	0.02454398096370608
BdiBd21-3.2G0638300	BdiBd21-3.2G0134800	Cluster_0	403	111	0.02175608061366531
BdiBd21-3.2G0638300	BdiBd21-3.1G0285200	Cluster_0	403	111	0.021396352084597708
BdiBd21-3.2G0638300	BdiBd21-3.2G0132000	Cluster_0	403	111	0.02135820023247778
BdiBd21-3.2G0638300	BdiBd21-3.1G0188200	Cluster_0	403	111	0.020816188939776496
BdiBd21-3.2G0638300	BdiBd21-3.1G0281400	Cluster_0	403	111	0.019047799712750037
BdiBd21-3.2G0638300	BdiBd21-3.2G0059400	Cluster_0	403	111	0.01871835969163868
BdiBd21-3.2G0638300	BdiBd21-3.3G0003000	Cluster_0	403	111	0.018005253628370004
BdiBd21-3.2G0638300	BdiBd21-3.1G0098900	Cluster_0	403	111	0.016936615851375632
BdiBd21-3.2G0638300	BdiBd21-3.3G0004200	Cluster_0	403	111	0.016664910181914027
BdiBd21-3.2G0638300	BdiBd21-3.2G0226300	Cluster_0	403	111	0.015213022389173332
BdiBd21-3.2G0638300	BdiBd21-3.3G0006900	Cluster_0	403	111	0.014163408101379327
BdiBd21-3.2G0638300	BdiBd21-3.2G0049000	Cluster_0	403	111	0.014087115438705538
BdiBd21-3.2G0638300	BdiBd21-3.2G0135200	Cluster_0	403	111	0.012462212981474326
BdiBd21-3.2G0638300	BdiBd21-3.3G0119400	Cluster_0	403	111	0.010608163719274331
BdiBd21-3.2G0638300	BdiBd21-3.1G0053600	Cluster_0	403	111	0.010323158385012136
BdiBd21-3.2G0638300	BdiBd21-3.1G0141700	Cluster_0	403	111	0.010123663711256524
BdiBd21-3.2G0638300	BdiBd21-3.1G0179200	Cluster_0	403	111	0.009980732493187636
BdiBd21-3.2G0638300	BdiBd21-3.1G0020000	Cluster_0	403	111	0.005856119194625318
BdiBd21-3.2G0638300	BdiBd21-3.3G0255800	Cluster_0	403	111	0.00444491782379209
BdiBd21-3.2G0638300	BdiBd21-3.2G0116900	Cluster_0	403	111	0.003333879140228277
BdiBd21-3.2G0638300	BdiBd21-3.1G0237700	Cluster_0	403	111	0.003221397671159065
BdiBd21-3.2G0638300	BdiBd21-3.2G0263600	Cluster_0	403	111	0.0008989493909587537
BdiBd21-3.2G0638300	BdiBd21-3.3G0117600	Cluster_0	403	111	0.00036056566921812566
BdiBd21-3.2G0638300	BdiBd21-3.1G0250200	Cluster_0	403	111	0.00029093345174061643
BdiBd21-3.2G0638300	BdiBd21-3.2G0213900	Cluster_0	403	111	0.00021666503293079568
BdiBd21-3.2G0644600	BdiBd21-3.2G0208700	Cluster_4	68	5	33.38804543229662
BdiBd21-3.2G0644600	BdiBd21-3.1G0187300	Cluster_4	68	5	28.94786747839123
BdiBd21-3.2G0644600	BdiBd21-3.2G0093900	Cluster_4	68	5	27.596604506843494
BdiBd21-3.2G0644600	BdiBd21-3.1G0150350	Cluster_4	68	5	25.143540836260875
BdiBd21-3.2G0644600	BdiBd21-3.3G0280000	Cluster_4	68	5	22.59899653396989
BdiBd21-3.2G0644600	BdiBd21-3.3G0222500	Cluster_4	68	5	22.39257237361535
BdiBd21-3.2G0644600	BdiBd21-3.3G0187800	Cluster_4	68	5	22.09315883183096
BdiBd21-3.2G0644600	BdiBd21-3.1G0020300	Cluster_4	68	5	22.02395703949832
BdiBd21-3.2G0644600	BdiBd21-3.3G0167200	Cluster_4	68	5	21.160315075108933
BdiBd21-3.2G0644600	BdiBd21-3.2G0238700	Cluster_4	68	5	20.34377472148534
BdiBd21-3.2G0644600	BdiBd21-3.2G0091100	Cluster_4	68	5	19.892930316507094
BdiBd21-3.2G0644600	BdiBd21-3.3G0080200	Cluster_4	68	5	19.745789347193693
BdiBd21-3.2G0644600	BdiBd21-3.1G0066300	Cluster_4	68	5	18.5349548338318
BdiBd21-3.2G0644600	BdiBd21-3.3G0261100	Cluster_4	68	5	18.389075466829905
BdiBd21-3.2G0644600	BdiBd21-3.1G0064400	Cluster_4	68	5	17.276720925596834
BdiBd21-3.2G0644600	BdiBd21-3.3G0262400	Cluster_4	68	5	16.90442691519343
BdiBd21-3.2G0644600	BdiBd21-3.2G0140400	Cluster_4	68	5	16.55026949373437
BdiBd21-3.2G0644600	BdiBd21-3.2G0114000	Cluster_4	68	5	15.668484938333462
BdiBd21-3.2G0644600	BdiBd21-3.3G0062200	Cluster_4	68	5	15.192040848524464
BdiBd21-3.2G0644600	BdiBd21-3.1G0107500	Cluster_4	68	5	14.859505401731989
