p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
BdiBd21-3.1G0634900	1.02660956426496e-151	1.43055831549277	0.996	0.794	4.01075824567033e-147	0	BdiBd21-3.1G0634900
BdiBd21-3.3G0217700	1.37716588746423e-151	1.43842624319768	0.986	0.702	5.38031168914527e-147	0	BdiBd21-3.3G0217700
BdiBd21-3.1G0285200	1.73892860832877e-151	1.97450520405125	0.84	0.267	6.79364628701886e-147	0	BdiBd21-3.1G0285200
BdiBd21-3.3G0620100	1.82495653991539e-151	2.17437106479969	0.523	0.085	7.12974021014143e-147	0	BdiBd21-3.3G0620100
BdiBd21-3.4G0204700	1.88782264798324e-151	1.68643422228434	0.976	0.636	7.37534552114093e-147	0	BdiBd21-3.4G0204700
BdiBd21-3.1G0279700	2.10388326200992e-151	2.0541766707273	0.737	0.184	8.21945112802036e-147	0	BdiBd21-3.1G0279700
BdiBd21-3.1G0657800	4.08022166272354e-151	2.16531646995656	0.566	0.103	1.59406099919283e-146	0	BdiBd21-3.1G0657800
BdiBd21-3.1G0056200	4.92466288231369e-151	1.85013166932674	0.493	0.072	1.92396729486231e-146	0	BdiBd21-3.1G0056200
BdiBd21-3.1G0083500	1.41833560115869e-150	1.75914852224714	0.947	0.506	5.54115352660675e-146	0	BdiBd21-3.1G0083500
BdiBd21-3.1G0422100	1.61066590472531e-150	1.91571999427192	0.927	0.487	6.29254955658085e-146	0	BdiBd21-3.1G0422100
BdiBd21-3.1G0340100	2.69716017996582e-149	1.38468576038766	0.988	0.825	1.05372653910905e-144	0	BdiBd21-3.1G0340100
BdiBd21-3.2G0036700	5.70659877406686e-149	1.65571209913852	0.584	0.105	2.22945400905244e-144	0	BdiBd21-3.2G0036700
BdiBd21-3.3G0367900	7.55888200322356e-149	1.79831834783448	0.97	0.566	2.95310402101938e-144	0	BdiBd21-3.3G0367900
BdiBd21-3.1G0923900	1.05467786747607e-148	1.95742989146229	0.885	0.353	4.12041549265551e-144	0	BdiBd21-3.1G0923900
BdiBd21-3.1G0332500	2.15777364826343e-148	1.66822816288704	0.76	0.19	8.42999008903557e-144	0	BdiBd21-3.1G0332500
BdiBd21-3.5G0274400	3.81866872006861e-148	1.66683680563896	0.958	0.51	1.4918774955564e-143	0	BdiBd21-3.5G0274400
BdiBd21-3.1G0227700	5.42468324843452e-148	2.93353205418787	0.683	0.189	2.1193152514984e-143	0	BdiBd21-3.1G0227700
BdiBd21-3.4G0476300	1.33968803569409e-147	1.75295949987007	0.77	0.204	5.23389321784968e-143	0	BdiBd21-3.4G0476300
BdiBd21-3.1G0721000	1.82738197958855e-147	1.58879997493687	0.964	0.6	7.13921591785653e-143	0	BdiBd21-3.1G0721000
BdiBd21-3.3G0366900	2.90403525848367e-147	1.57108091374131	0.97	0.586	1.1345484947844e-142	0	BdiBd21-3.3G0366900
BdiBd21-3.2G0736600	6.64649125571676e-147	1.88679752580456	0.507	0.086	2.59665120378343e-142	0	BdiBd21-3.2G0736600
BdiBd21-3.4G0627700	1.60505704316692e-146	2.20028236472023	0.44	0.06	6.27063685624454e-142	0	BdiBd21-3.4G0627700
BdiBd21-3.3G0744300	1.46036937658964e-145	1.69544523595928	0.727	0.177	5.7053710804604e-141	0	BdiBd21-3.3G0744300
BdiBd21-3.1G0281400	1.71418452412474e-145	1.4489116418078	0.98	0.619	6.69697609885055e-141	0	BdiBd21-3.1G0281400
BdiBd21-3.4G0571200	3.65166518076897e-145	1.70632466199835	0.915	0.417	1.42663255282282e-140	0	BdiBd21-3.4G0571200
BdiBd21-3.1G0203600	4.10140516176749e-145	1.98135444430271	0.418	0.053	1.60233696859932e-140	0	BdiBd21-3.1G0203600
BdiBd21-3.5G0324000	1.0379289267222e-144	1.58009080601728	0.952	0.544	4.0549807309183e-140	0	BdiBd21-3.5G0324000
BdiBd21-3.2G0641400	1.20485808510884e-144	1.89142898892376	0.487	0.075	4.70713956690322e-140	0	BdiBd21-3.2G0641400
BdiBd21-3.4G0067800	1.32711116688596e-144	1.72046182529613	0.446	0.061	5.18475790679007e-140	0	BdiBd21-3.4G0067800
BdiBd21-3.3G0543800	2.1216886073829e-144	1.29722407298955	0.992	0.772	8.28901305132353e-140	0	BdiBd21-3.3G0543800
BdiBd21-3.2G0263600	3.03548491000749e-144	1.73205186859141	0.729	0.181	1.18590324464173e-139	0	BdiBd21-3.2G0263600
BdiBd21-3.2G0284800	3.80178661933455e-144	1.48722464816103	0.984	0.705	1.48528199644162e-139	0	BdiBd21-3.2G0284800
BdiBd21-3.4G0050300	4.2580628266988e-144	1.81088396846523	0.663	0.149	1.66353998513469e-139	0	BdiBd21-3.4G0050300
BdiBd21-3.3G0581200	5.36803511031051e-144	1.40270604477857	0.988	0.721	2.09718395689611e-139	0	BdiBd21-3.3G0581200
BdiBd21-3.1G0889100	9.2417125619548e-144	1.83998278791863	0.735	0.189	3.6105522637045e-139	0	BdiBd21-3.1G0889100
